Team,SP,SP1,SP2,SP3,SP4,SP5,RP,C,1B,2B,3B,SS,LF,CF,RF,DH
ARI,1.018870881371497,1.0165693857300053,1.0242167495871397,1.0948942357994775,1.0499655528722458,0.9389390469260802,1.180668158110328,0.8385331636025578,0.9633309349164638,0.9925518723645487,1.0322424497578804,1.0878154383582923,0.9596421840692035,1.118909597087485,1.000984561573297,1.0891512808409496
ATL,0.8133345301278032,0.9409265378321552,0.8910246268578715,0.8628159417246684,0.7951412332237917,0.894798598920837,0.879125012619481,1.0027367260406346,0.9169423586059664,0.8249690005668948,0.9484120803873912,1.1338035731593932,1.1199677542052442,0.9178547227849743,0.8296708478195937,0.8748154488539976
BAL,1.1522892146349475,1.1570489603974412,1.1089753731421284,1.1413098946144393,1.0499655528722458,1.115500838947053,1.0260306476022014,0.8043240880946252,1.0163464506998896,1.1950478424533806,0.9419635904358151,0.8907234320678606,0.9706991199406546,0.986787822545835,1.0423361476517774,1.0891512808409496
BOS,0.9611764669873023,1.0165693857300053,1.0242167495871397,0.955647259354592,0.9450378918405296,0.8506581509155938,0.9100525147211063,1.0164203562438077,0.9500770559706074,1.0972911672380823,0.9226181205810868,1.0089786358421198,0.9375283123263014,1.026998797406337,1.0836877337302575,1.0891512808409496
CHC,1.1126243047458135,1.0922122336278552,1.0484334991742792,1.1567817808860932,1.0799448845955935,1.0492901669391883,1.0724219007546394,1.0779966921580866,1.129004421739669,1.0833259279216112,1.1160728191283698,0.9761299681270477,0.9762275878763802,1.0040210974860502,0.912374019976554,1.0611944331904777
CHW,0.9936295750784119,0.9841510223452123,0.9394581260321508,0.955647259354592,1.0199862211488984,1.115500838947053,0.8636612615686683,0.9958949109390481,1.003092571754033,1.0134997313392555,1.0257939598063044,0.9367115668689614,1.1254962221409697,0.9293435727451177,1.0836877337302575,0.7816259566857577
CIN,1.0116590795734728,0.9409265378321552,0.8910246268578715,1.002062918169554,1.1399035480422886,1.0934306149444315,0.995103145500576,1.084838507259673,1.122377482266741,1.0065171116810199,1.1547637588378263,1.0681062377292492,0.9817560558121057,1.0959318971671979,1.154576167007652,1.1171081284914215
CLE,0.9900236741793996,0.9409265378321552,1.0121083747935697,1.0330066907128617,1.0049965552872246,0.9610092709287018,0.9641756433989507,1.0232621713453942,0.996465632281105,0.9366909150986641,0.8774786909200543,0.9629905010410189,0.8877721009047715,1.0384876473664806,0.9655403449345998,1.0891512808409496
COL,1.1342597101398866,1.1030183547561196,1.1210837479356983,1.0948942357994775,1.0949345504572672,1.0934306149444315,1.13427690495789,1.1258893978691922,1.0759889059562435,1.0274649706557266,1.0451394296610326,1.0024089022991052,0.9872845237478313,1.1131651721074132,1.0955024726098233,1.0891512808409496
DET,1.076565295755692,1.1030183547561196,1.0605418739678492,1.0639504632561696,1.0049965552872246,1.0272199429365667,1.1265450294324837,1.098522137462846,1.0362272691186742,1.118239026212789,1.0451394296610326,1.0352575700141773,1.0536261389765378,0.9752989725856915,1.000984561573297,0.9773238902390616
