Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,BsR,Fld,-1,Off,Def,WAR,-1,ADP,playerid
Jack Suwinski,PIT,89,365,318,72,15,1,17,43,47,39,105,4,4,2,,0.225,0.315,0.435,0.75,0.327,110,,-0.2,1.7,,4.2,-3.8,1.3,,999,22244
Chas McCormick,HOU,115,462,404,92,16,2,14,51,51,48,125,4,6,2,,0.228,0.314,0.378,0.692,0.307,100,,-0.6,1.1,,-0.5,-2,1.3,,999,19599
Jorge Soler,MIA,133,558,488,112,23,1,25,65,70,58,149,6,2,1,,0.23,0.317,0.434,0.751,0.327,113,,-1.6,-2.2,,7.1,-13.9,1.3,,999,14221
Alex Call,WSN,99,396,343,82,17,1,13,44,44,43,78,6,7,3,,0.238,0.331,0.41,0.74,0.327,109,,0,-0.8,,4.2,-5.5,1.3,,999,19296
Juan Yepez,STL,89,359,324,81,17,0,18,44,52,27,78,4,1,1,,0.251,0.313,0.469,0.783,0.338,122,,-0.6,0,,8.5,-9.4,1.2,,999,18400
Aledmys Díaz,,87,364,332,84,18,1,11,40,43,22,62,5,2,1,,0.254,0.307,0.413,0.721,0.314,103,,-1.1,-1.7,,0.1,-1.1,1.2,,999,15937
Alex Kirilloff,MIN,97,383,345,88,18,1,14,44,47,27,82,5,2,1,,0.256,0.317,0.431,0.747,0.325,114,,-0.7,-0.7,,5.3,-6.7,1.1,,999,20325
Brandon Marsh,PHI,122,473,426,99,19,4,10,50,47,36,149,4,11,4,,0.232,0.295,0.368,0.663,0.291,85,,0.9,-0.3,,-7.3,1.7,1.1,,999,20202
Joey Gallo,,104,429,358,67,12,2,20,51,52,61,153,4,3,1,,0.188,0.312,0.397,0.708,0.313,103,,0,0.1,,1.4,-5.1,1.1,,999,14128
Esteury Ruiz,MIL,73,293,258,63,13,1,8,35,32,25,62,6,21,6,,0.244,0.323,0.395,0.718,0.317,104,,1.4,-0.5,,2.6,-2.3,1.1,,999,21780
Tommy Pham,,131,578,507,120,22,2,16,67,59,58,147,6,10,3,,0.236,0.32,0.379,0.699,0.31,100,,0.7,-3.2,,0.8,-9.8,1,,999,2967
AJ Pollock,,120,500,458,116,24,1,17,57,60,32,97,5,5,2,,0.254,0.307,0.423,0.731,0.317,105,,-0.8,-2.7,,2.3,-8.7,1,,999,9256
David Peralta,,115,487,439,110,24,2,13,53,55,39,106,4,3,1,,0.251,0.315,0.403,0.718,0.312,102,,-0.5,-0.9,,0.5,-7.5,0.9,,999,2136
Nick Gordon,MIN,84,343,316,79,17,2,7,35,36,18,80,5,7,3,,0.251,0.3,0.391,0.691,0.302,97,,0.2,-1.4,,-0.8,-1.6,0.9,,999,16337
Jake Fraley,CIN,113,475,410,97,19,1,19,57,58,54,120,5,8,3,,0.237,0.331,0.424,0.755,0.33,106,,0,-3,,3.4,-11.3,0.8,,999,19260
Josh H. Smith,TEX,91,348,301,73,15,1,7,38,32,35,72,7,9,3,,0.241,0.33,0.364,0.694,0.31,102,,0.2,-0.1,,1,-4.2,0.8,,999,26396
JJ Bleday,MIA,79,330,284,58,13,1,11,35,36,39,88,3,3,1,,0.205,0.306,0.372,0.678,0.302,96,,-0.2,-0.4,,-1.8,-1.6,0.8,,999,26368
Edward Olivares,KCR,68,279,253,66,13,1,9,31,32,19,53,3,5,2,,0.261,0.319,0.423,0.742,0.324,108,,0.1,-0.7,,2.6,-3.8,0.8,,999,19698
Marcell Ozuna,ATL,109,434,391,97,17,1,18,52,58,35,100,3,2,1,,0.248,0.312,0.436,0.748,0.325,107,,-0.4,-1.3,,3.2,-10.2,0.8,,999,10324
Will Brennan,CLE,50,204,185,51,11,1,4,23,23,15,29,2,4,2,,0.277,0.335,0.417,0.752,0.329,115,,0,-0.1,,3.4,-2.7,0.7,,999,25660
Kyle Stowers,BAL,76,304,270,65,14,1,12,34,38,27,86,4,2,1,,0.24,0.315,0.435,0.75,0.326,113,,-0.4,-0.1,,4.2,-7.2,0.7,,999,26151
Trevor Larnach,MIN,102,411,361,82,18,1,13,43,45,39,129,6,2,1,,0.228,0.31,0.385,0.695,0.306,101,,-0.8,1.4,,-0.5,-6,0.7,,999,21501
Ben Gamel,,78,330,287,68,15,2,7,36,33,36,83,3,4,2,,0.237,0.325,0.37,0.695,0.308,99,,-0.2,0,,-0.6,-3.9,0.7,,999,12160
Sean Bouchard,COL,47,188,164,43,10,1,8,25,25,20,47,2,3,1,,0.259,0.341,0.474,0.815,0.353,114,,-0.1,-0.1,,2.9,-2.9,0.7,,999,21270
Miguel Andújar,PIT,91,372,345,91,19,1,12,42,47,19,58,3,4,2,,0.264,0.305,0.431,0.737,0.319,105,,0,-1.4,,2.1,-8.4,0.7,,999,15878
Kyle Isbel,KCR,75,299,270,65,13,3,7,32,32,21,72,4,10,4,,0.243,0.304,0.393,0.697,0.305,95,,0.2,1.1,,-1.5,-1.9,0.6,,999,21614
Canaan Smith-Njigba,PIT,42,171,147,36,8,1,4,20,18,20,41,2,4,1,,0.247,0.342,0.393,0.736,0.326,110,,0,0.1,,1.9,-2,0.6,,999,23264
Jake Lamb,,150,610,531,114,23,2,20,66,66,63,176,8,3,1,,0.215,0.305,0.374,0.679,0.301,94,,-0.8,1,,-4.8,-9.6,0.6,,999,13329
Sam Haggerty,SEA,65,257,228,52,12,1,5,27,25,22,64,3,11,3,,0.229,0.303,0.359,0.662,0.292,94,,0.6,0.4,,-1.3,-1.6,0.6,,999,18054
Raimel Tapia,,71,299,276,73,15,2,5,33,29,17,52,1,7,2,,0.266,0.31,0.386,0.697,0.305,97,,0.7,-1.7,,-0.5,-4.1,0.6,,999,14350
Stone Garrett,WSN,65,273,253,60,13,1,13,33,36,14,73,2,6,2,,0.238,0.283,0.451,0.734,0.315,101,,0,-0.1,,0.4,-4.4,0.5,,999,19273
Stuart Fairchild,CIN,68,260,229,52,11,1,10,30,30,22,75,5,5,2,,0.226,0.305,0.411,0.715,0.313,94,,-0.1,1.2,,-1.9,-1.7,0.5,,999,20321
Nick Solak,CIN,62,255,227,57,11,1,8,29,29,20,55,5,4,2,,0.252,0.323,0.412,0.735,0.323,101,,0.2,-1.5,,0.5,-3.9,0.5,,999,19294
Corey Dickerson,,75,311,287,75,16,2,7,33,35,17,57,3,2,1,,0.262,0.308,0.405,0.713,0.31,101,,-0.7,-1.8,,-0.5,-5.5,0.4,,999,10762
Robbie Grossman,,96,414,354,78,16,1,9,47,37,49,105,5,7,3,,0.22,0.322,0.35,0.672,0.302,95,,-0.8,-1.8,,-3.2,-6.6,0.4,,999,5254
Luis González,SFG,58,236,207,49,10,1,5,26,24,23,55,3,6,2,,0.237,0.317,0.375,0.692,0.306,98,,-0.1,-1.7,,-0.6,-3.8,0.4,,999,20332
Cooper Hummel,SEA,29,122,104,23,5,1,4,14,12,15,34,1,2,1,,0.217,0.32,0.375,0.695,0.309,106,,-0.1,-0.4,,0.7,1.4,0.4,,999,19458
Terrin Vavra,BAL,29,119,104,26,6,1,2,13,11,13,25,2,1,1,,0.249,0.337,0.367,0.703,0.314,105,,-0.2,-0.1,,0.5,-1,0.3,,999,24400
Travis Jankowski,,60,242,207,48,8,1,2,25,19,29,52,2,8,3,,0.233,0.331,0.317,0.648,0.294,89,,0,-0.5,,-3,-1.7,0.3,,999,13768
Bubba Thompson,TEX,78,299,277,66,12,2,7,32,30,15,80,3,18,5,,0.239,0.283,0.372,0.656,0.286,85,,1.6,0.1,,-3.4,-2.9,0.3,,999,22261
Adam Duvall,,79,325,296,62,12,1,15,36,42,22,100,4,2,1,,0.209,0.27,0.409,0.679,0.295,90,,-0.4,0.6,,-4.2,-3.3,0.3,,999,10950
Chad Pinder,,83,348,323,75,16,1,11,36,40,19,100,2,2,1,,0.232,0.278,0.389,0.666,0.29,87,,-0.3,0.7,,-5.6,-3,0.3,,999,15191
Kevin Pillar,,50,202,187,44,9,1,6,21,23,10,42,3,2,1,,0.235,0.282,0.391,0.673,0.293,89,,0.3,-0.6,,-2.3,-1.5,0.3,,999,12434
Kyle Garlick,MIN,45,193,176,40,8,1,8,23,25,12,57,2,1,0,,0.23,0.287,0.43,0.718,0.311,104,,-0.2,-0.8,,0.7,-4.1,0.3,,999,18063
Sam Hilliard,ATL,50,200,177,37,7,1,7,23,23,19,64,2,4,1,,0.211,0.29,0.385,0.675,0.296,87,,0.2,0.5,,-2.7,-1.5,0.3,,999,17954
Mickey Moniak,LAA,47,187,171,38,7,1,7,21,22,12,53,2,3,1,,0.222,0.277,0.398,0.675,0.292,87,,0.1,0.6,,-2.6,-1,0.3,,999,19956
Tucupita Marcano,PIT,23,93,82,20,4,1,1,10,8,9,17,1,2,1,,0.238,0.313,0.352,0.664,0.295,89,,0,0.1,,-1.2,0.3,0.2,,999,22871
Connor Joe,COL,16,71,61,16,3,0,2,9,7,8,15,1,1,0,,0.254,0.35,0.417,0.766,0.338,104,,0,0.2,,0.3,-0.7,0.2,,999,16572
Brent Rooker,OAK,21,88,77,17,4,0,4,10,11,8,27,2,1,0,,0.216,0.304,0.419,0.724,0.316,111,,-0.1,-0.4,,1,-1.9,0.2,,999,19627
Nick Maton,PHI,21,84,73,16,4,0,2,9,8,8,22,1,1,0,,0.223,0.308,0.365,0.672,0.299,90,,0,0,,-1,-0.2,0.2,,999,21635
Brad Miller,TEX,76,305,270,60,10,1,11,33,34,29,87,2,4,1,,0.222,0.301,0.391,0.692,0.304,98,,-0.7,-1.9,,-1.5,-7,0.1,,999,12775
Mark Payton,CHW,10,39,35,9,2,0,1,5,5,3,7,0,1,0,,0.249,0.317,0.426,0.742,0.323,111,,-0.1,-0.1,,0.4,-0.6,0.1,,999,16042
Travis Swaggerty,PIT,16,65,58,13,2,1,1,7,7,6,17,1,2,1,,0.229,0.306,0.368,0.674,0.299,91,,0,0,,-0.7,-0.6,0.1,,999,24491
Richie Palacios,CLE,10,38,34,8,2,0,1,4,4,4,8,0,1,0,,0.25,0.329,0.383,0.712,0.314,104,,0,-0.1,,0.2,-0.5,0.1,,999,24589
Josh Palacios,WSN,11,46,41,10,2,0,1,5,5,4,10,1,1,1,,0.249,0.321,0.384,0.705,0.312,99,,0,-0.1,,0,-0.7,0.1,,999,19818
Ryan McKenna,BAL,23,94,83,18,4,0,2,9,9,9,30,1,1,1,,0.213,0.291,0.345,0.636,0.283,83,,0.1,0,,-1.7,-0.6,0.1,,999,19928
Jo Adell,LAA,16,66,61,14,3,0,3,7,8,4,21,1,1,0,,0.223,0.278,0.417,0.695,0.301,94,,0,-0.1,,-0.5,-0.9,0.1,,999,20220
Peyton Burdick,MIA,11,44,39,8,2,0,1,5,5,4,14,1,1,0,,0.213,0.303,0.384,0.687,0.303,97,,0,-0.3,,-0.2,-0.6,0.1,,999,25459
Luke Raley,TBR,8,33,29,7,1,0,1,4,4,2,10,1,0,0,,0.227,0.304,0.4,0.705,0.31,107,,0,-0.1,,0.2,-0.6,0.1,,999,19354
Eli White,TEX,32,130,116,24,5,0,3,13,12,11,40,1,5,2,,0.209,0.282,0.333,0.615,0.274,76,,0.2,0.8,,-3.2,-0.3,0.1,,999,19346
Jake Cave,PHI,10,39,35,8,2,0,1,4,4,3,11,1,0,0,,0.229,0.295,0.391,0.686,0.299,90,,0,-0.1,,-0.4,-0.4,0,,999,14477
Yadiel Hernandez,WSN,10,40,36,9,2,0,1,4,5,3,9,0,0,0,,0.253,0.308,0.408,0.716,0.312,99,,-0.2,-0.3,,-0.2,-0.8,0,,999,19334
Tim Locastro,,15,60,55,13,3,0,1,6,6,3,13,2,2,1,,0.229,0.29,0.353,0.643,0.285,83,,0.2,-0.5,,-1,-0.7,0,,999,15124
Jake Marisnick,,29,116,107,24,5,1,3,12,12,6,36,2,3,1,,0.223,0.276,0.364,0.639,0.279,79,,0.1,-0.4,,-2.7,-0.9,0,,999,11339
Cody Thomas,OAK,5,20,18,4,1,0,1,2,2,1,6,0,0,0,,0.209,0.277,0.376,0.653,0.287,91,,0,-0.1,,-0.2,-0.3,0,,999,19828
Heliot Ramos,SFG,2,7,6,1,0,0,0,1,1,0,2,0,0,0,,0.231,0.292,0.369,0.661,0.29,88,,0,-0.1,,-0.1,-0.1,0,,999,22515
Jordan Luplow,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.217,0.311,0.411,0.722,0.317,105,,0,0,,0,0,0,,999,16424
Abraham Almonte,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.228,0.331,0.393,0.725,0.322,108,,0,0,,0,0,0,,999,5486
Adam Haseley,CHW,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.296,0.387,0.682,0.299,94,,0,0,,0,0,0,,999,19878
Brewer Hicklen,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.217,0.295,0.395,0.69,0.302,93,,0,0,,0,0,0,,999,20450
Jerar Encarnacion,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.232,0.29,0.4,0.69,0.301,95,,0,0,,0,0,0,,999,21871
Zach Reks,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.306,0.384,0.691,0.305,97,,0,0,,0,0,0,,999,19667
Jason Krizan,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.24,0.301,0.388,0.689,0.302,96,,0,0,,0,0,0,,999,12394
Luke Williams,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.29,0.338,0.628,0.278,78,,0,0,,0,0,0,,999,19931
Dillon Thomas,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.221,0.303,0.362,0.666,0.296,91,,0,0,,0,0,0,,999,12719
Anthony Alford,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.213,0.293,0.375,0.667,0.294,89,,0,0,,0,0,0,,999,14329
Tim Beckham,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.296,0.393,0.689,0.301,94,,0,0,,0,0,0,,999,7949
Magneuris Sierra,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.237,0.289,0.341,0.63,0.278,78,,0,0,,0,0,0,,999,17023
Monte Harrison,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.211,0.284,0.364,0.648,0.287,84,,0,0,,0,0,0,,999,17216
Austin Dean,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.236,0.304,0.396,0.7,0.305,97,,0,0,,0,0,0,,999,18288
Steven Duggar,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.211,0.283,0.336,0.619,0.274,76,,0,0,,0,0,0,,999,17719
Luis Barrera,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.298,0.362,0.66,0.291,87,,0,0,,0,0,0,,999,19615
Steele Walker,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.232,0.29,0.377,0.667,0.293,91,,0,0,,0,0,0,,999,22093
Greg Allen,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.225,0.301,0.334,0.636,0.285,83,,0,0,,0,0,0,,999,16623
Ender Inciarte,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.223,0.291,0.328,0.619,0.277,77,,0,0,,0,0,0,,999,4922
Yermín Mercedes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.241,0.307,0.397,0.704,0.308,99,,0,0,,0,0,0,,999,17423
Guillermo Heredia,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.215,0.286,0.344,0.63,0.279,79,,0,0,,0,0,0,,999,18721
Nick Plummer,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.307,0.373,0.68,0.302,95,,0,0,,0,0,0,,999,18690
Elier Hernandez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.223,0.274,0.354,0.627,0.276,77,,0,0,,0,0,0,,999,13750
Drew Jackson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.197,0.287,0.318,0.605,0.273,74,,0,0,,0,0,0,,999,17807
Terrance Gore,NYM,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.186,0.266,0.268,0.535,0.244,60,,0,0,,0,0,0,,999,13658
Eddie Rosario,ATL,92,380,351,84,16,1,12,42,45,23,78,2,5,2,,0.24,0.288,0.398,0.686,0.299,89,,-0.2,-3.1,,-5,-8.4,-0.1,,999,12155
Billy Hamilton,,18,73,67,13,3,0,1,6,5,5,23,1,5,2,,0.195,0.253,0.273,0.526,0.237,50,,0.5,0,,-3.7,0.3,-0.1,,999,10199
Jackson Frazier,,47,190,167,34,8,0,5,20,19,18,60,3,2,1,,0.207,0.293,0.35,0.642,0.287,84,,-0.4,-2.2,,-3.8,-4.6,-0.2,,999,15983
